SECTION1
v	o	0.06669671022983
v	v	0.07661108607481
d	a	0.09551208285386
n	o	0.01148277583625
v	p	0.07751239296981
,	v	0.04606413994169
^	^	0.11011235955056
n	,	0.15476784822766
p	p	0.01198083067093
o	v	0.31514581373471
l	p	0.03571428571429
o	~	0.00188146754468
@	~	0.13884992987377
^	,	0.14719101123596
~	,	0.02044609665428
~	@	0.26579925650558
~	o	0.02416356877323
n	v	0.05441837244134
p	d	0.11501597444089
n	n	0.07588617074388
^	a	0.01235955056180
^	$	0.01460674157303
n	e	0.00349475786321
@	!	0.07012622720898
,	!	0.03090379008746
@	o	0.04488078541374
v	n	0.03199639477242
,	&	0.01049562682216
o	r	0.05174035747883
v	^	0.01622352410996
p	v	0.07667731629393
^	p	0.03146067415730
p	o	0.06948881789137
!	,	0.16256157635468
d	n	0.32566168009206
v	d	0.07480847228481
p	n	0.06309904153355
^	n	0.05730337078652
~	!	0.01672862453532
~	^	0.02416356877323
a	n	0.22119205298013
~	r	0.01486988847584
o	,	0.05550329256820
r	v	0.12772133526851
d	^	0.04718066743383
,	u	0.01982507288630
n	p	0.09785322016975
&	o	0.07112970711297
v	a	0.02884182063993
e	,	0.03378378378378
!	!	0.03201970443350
$	n	0.16666666666667
p	l	0.00638977635783
v	,	0.04416403785489
$	p	0.08796296296296
&	n	0.07531380753138
p	~	0.00399361022364
$	,	0.12962962962963
n	&	0.01997004493260
n	$	0.00299550673989
~	u	0.02230483271375
^	v	0.05168539325843
,	,	0.00874635568513
e	~	0.02027027027027
u	!	0.00896860986547
p	#	0.00159744408946
u	u	0.00896860986547
v	r	0.03785488958991
r	d	0.01596516690856
,	l	0.01865889212828
,	^	0.02623906705539
#	#	0.12765957446809
r	a	0.06966618287373
p	a	0.02555910543131
r	,	0.08417997097242
r	$	0.00435413642961
!	d	0.00738916256158
o	&	0.00658513640640
^	e	0.00674157303371
#	o	0.02836879432624
o	p	0.02163687676388
@	v	0.03225806451613
o	!	0.00376293508937
$	$	0.01388888888889
^	u	0.01235955056180
,	o	0.04198250728863
@	l	0.01402524544180
a	^	0.02516556291391
o	a	0.01317027281279
g	@	0.02189781021898
l	v	0.16666666666667
o	d	0.00846660395108
,	n	0.02215743440233
l	n	0.02777777777778
!	^	0.01477832512315
u	#	0.04484304932735
@	p	0.01823281907433
!	o	0.06157635467980
~	v	0.01115241635688
l	a	0.06349206349206
g	u	0.03649635036496
e	!	0.04054054054054
v	t	0.01487156376746
d	$	0.01035673187572
!	a	0.00985221674877
v	~	0.00135196034250
u	,	0.02242152466368
p	@	0.00958466453674
,	g	0.00816326530612
@	@	0.04067321178121
@	&	0.00981767180926
@	e	0.00561009817672
,	@	0.00641399416910
a	g	0.00397350993377
,	r	0.02507288629738
o	n	0.00940733772342
&	v	0.12552301255230
p	x	0.00239616613419
n	r	0.02246630054918
~	l	0.01672862453532
g	r	0.01459854014599
~	n	0.01486988847584
o	e	0.00188146754468
o	t	0.00470366886171
r	!	0.00435413642961
p	^	0.07667731629393
o	o	0.01034807149577
r	p	0.05079825834543
a	,	0.08476821192053
,	#	0.00758017492711
&	l	0.02092050209205
a	p	0.04768211920530
^	!	0.00337078651685
r	o	0.02757619738752
g	~	0.13138686131387
a	o	0.00397350993377
r	l	0.01015965166909
@	^	0.01262272089762
,	x	0.00058309037901
d	,	0.00575373993096
@	n	0.02524544179523
r	r	0.03773584905660
,	d	0.01574344023324
,	e	0.01282798833819
v	l	0.00675980171248
